Metric,Season,Player,FG%,3P%,FT%,PTS_per_MIN,Overall_Shooting%,BLK_per_GP,STL_per_GP
FG%,2019 - 2020,Dwight Howard,0.72924185,0.6,0.5140187,0.3959562,0.63508064,1.1449275,0.44927537
FG%,2019 - 2020,Mitchell Robinson,0.7419355,0.0,0.5675676,0.41769913,0.68916154,1.9508197,0.852459
3P%,2013 - 2014,Mike Miller,0.48081264,0.45922747,0.8214286,0.33929095,0.5,0.06097561,0.31707317
3P%,2019 - 2020,George Hill,0.5159575,0.46022728,0.84158415,0.43577442,0.55130166,0.084745765,0.7966102
3P%,2012 - 2013,Jose Calderon,0.49133858,0.4609929,0.9,0.38251367,0.5155466,0.10958904,0.79452056
3P%,2014 - 2015,Pau Gasol,0.49436253,0.46153846,0.8032787,0.53941137,0.5669903,1.8846154,0.32051283
3P%,2018 - 2019,Dante Cunningham,0.47468355,0.46153846,0.7777778,0.20896165,0.49377593,0.203125,0.421875
3P%,2000 - 2001,John Stockton,0.50384027,0.46212122,0.81654674,0.39382562,0.58058435,0.25609756,1.6097561
3P%,2017 - 2018,Jose Calderon,0.5027027,0.46391752,0.8,0.2789019,0.5192308,0.03508772,0.47368422
3P%,2017 - 2018,Tomas Satoransky,0.5234375,0.46534654,0.78125,0.31900644,0.55593807,0.20547946,0.7123288
3P%,1999 - 2000,Bruce Bowen,0.371134,0.46551725,0.5813953,0.22323462,0.420339,0.2173913,0.33333334
3P%,2001 - 2002,Eric Piatkowski,0.44136462,0.46638656,0.8938053,0.36437717,0.5109756,0.16901408,0.57746476
3P%,2017 - 2018,Darren Collison,0.49529782,0.46829268,0.8819444,0.42358187,0.5460993,0.2173913,1.3333334
3P%,2001 - 2002,Jon Barry,0.48757172,0.46899223,0.9230769,0.37210473,0.5389755,0.24390244,1.1341463
3P%,2007 - 2008,Steve Nash,0.504158,0.46981627,0.90612245,0.4931832,0.5579345,0.061728396,0.654321
3P%,2001 - 2002,Steve Smith,0.45454547,0.4715447,0.878453,0.4046112,0.52750224,0.19480519,0.7012987
3P%,2011 - 2012,Steve Novak,0.47774482,0.4716312,0.84615386,0.46741793,0.4899225,0.16666667,0.2962963
3P%,2013 - 2014,Kyle Korver,0.47454843,0.4719388,0.9255319,0.35291675,0.51232874,0.33802816,0.9859155
3P%,2010 - 2011,Gordon Hayward,0.48464164,0.47297296,0.7113402,0.3186335,0.5301724,0.2638889,0.41666666
3P%,2018 - 2019,Joe Harris,0.5,0.47409326,0.8270677,0.45389143,0.5264404,0.2236842,0.5
3P%,2016 - 2017,Jason Smith,0.52887535,0.47435898,0.6862745,0.3933321,0.5371179,0.7297297,0.2837838
3P%,2015 - 2016,J.J. Redick,0.47954544,0.4750594,0.88780487,0.58467263,0.53386456,0.06666667,0.56
3P%,2015 - 2016,Enes Kanter,0.5757997,0.47619048,0.7968128,0.6032429,0.629667,0.40243903,0.31707317
3P%,1999 - 2000,Jeff Hornacek,0.49175823,0.47826087,0.95,0.44678855,0.56883365,0.20779221,0.85714287
